


Time (ms), Time since reaction (ms), TIA (adc), Filter (adc), Peak Detector (adc)
0x00000009, 0x00000000, 0x0002, 0x0000, 0x000E
0x00000017, 0x00000000, 0x0000, 0x0004, 0x000E
0x00000020, 0x00000000, 0x0001, 0x0002, 0x000E
0x00000029, 0x00000000, 0x0006, 0x0001, 0x000D
0x00000032, 0x00000000, 0x0000, 0x0001, 0x000E
0x0000003B, 0x00000000, 0x0004, 0x0004, 0x000E
0x00000040, 0x00000000, 0x0002, 0x0005, 0x0010
0x00000045, 0x00000000, 0x0002, 0x0003, 0x0011
0x0000004A, 0x00000000, 0x0002, 0x0004, 0x0010
0x0000004F, 0x00000000, 0x0002, 0x0004, 0x0010
0x00000054, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000059, 0x00000000, 0x0003, 0x0004, 0x0010
0x0000005E, 0x00000000, 0x0002, 0x0001, 0x0010
0x00000063, 0x00000000, 0x0002, 0x0004, 0x0010
0x00000068, 0x00000000, 0x0003, 0x0004, 0x0010
0x0000006D, 0x00000000, 0x0000, 0x0005, 0x0010
0x00000072, 0x00000000, 0x0002, 0x0004, 0x0010
0x00000077, 0x00000000, 0x0002, 0x0004, 0x0011
0x0000007C, 0x00000000, 0x0002, 0x0004, 0x0010
0x00000081, 0x00000000, 0x0002, 0x0003, 0x0010
0x00000086, 0x00000000, 0x0003, 0x0004, 0x0010
0x0000008B, 0x00000000, 0x0002, 0x0004, 0x0010
0x00000090, 0x00000000, 0x0000, 0x0003, 0x0010
0x00000095, 0x00000000, 0x0002, 0x0004, 0x0010
0x0000009A, 0x00000000, 0x0002, 0x0002, 0x0011
0x0000009F, 0x00000000, 0x0002, 0x0004, 0x000C
0x000000A4, 0x00000000, 0x0002, 0x0005, 0x0010
0x000000A9, 0x00000000, 0x0002, 0x0003, 0x0010
0x000000AE, 0x00000000, 0x0002, 0x0004, 0x0010
0x000000B3, 0x00000000, 0x0005, 0x000E, 0x0010
0x000000B8, 0x00000000, 0x0002, 0x0004, 0x000E
0x000000BD, 0x00000000, 0x0002, 0x0004, 0x0010
0x000000C2, 0x00000000, 0x0001, 0x0004, 0x0011
0x000000C7, 0x00000000, 0x0002, 0x0004, 0x0010
0x000000CC, 0x00000000, 0x0002, 0x0003, 0x0010
0x000000D1, 0x00000000, 0x0002, 0x0003, 0x0010
0x000000D6, 0x00000000, 0x0008, 0x0004, 0x0010
0x000000DB, 0x00000000, 0x0002, 0x0003, 0x0010
0x000000E0, 0x00000000, 0x0002, 0x0000, 0x0010
0x000000E5, 0x00000000, 0x0002, 0x0004, 0x0010
0x000000EA, 0x00000000, 0x0002, 0x0004, 0x0010
0x000000EF, 0x00000000, 0x0002, 0x0004, 0x0010
0x000000F4, 0x00000000, 0x0002, 0x0004, 0x0010
0x000000F9, 0x00000000, 0x0002, 0x0004, 0x0011
0x000000FE, 0x00000000, 0x0002, 0x0000, 0x0011
0x00000103, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000108, 0x00000000, 0x0002, 0x0004, 0x0011
0x0000010D, 0x00000000, 0x0001, 0x0003, 0x0010
0x00000112, 0x00000000, 0x0002, 0x0004, 0x0010
0x00000117, 0x00000000, 0x0002, 0x0004, 0x0010
0x0000011C, 0x00000000, 0x0003, 0x0004, 0x0010
0x00000121, 0x00000000, 0x0002, 0x0004, 0x0010
0x00000126, 0x00000000, 0x0003, 0x0004, 0x0012
0x0000012B, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000130, 0x00000000, 0x0002, 0x0004, 0x0010
0x00000135, 0x00000000, 0x0002, 0x0004, 0x0011
0x0000013A, 0x00000000, 0x0002, 0x0001, 0x0010
0x0000013F, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000144, 0x00000000, 0x0002, 0x0004, 0x0010
0x00000149, 0x00000000, 0x0002, 0x0004, 0x0011
0x0000014E, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000153, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000158, 0x00000000, 0x0002, 0x0000, 0x0010
0x0000015D, 0x00000000, 0x0002, 0x0004, 0x0010
0x00000162, 0x00000000, 0x0002, 0x0004, 0x0012
0x00000167, 0x00000000, 0x0002, 0x0004, 0x000A
0x0000016C, 0x00000000, 0x0002, 0x0004, 0x0010
0x00000171, 0x00000000, 0x0002, 0x0007, 0x0011
0x00000176, 0x00000000, 0x0002, 0x0004, 0x0011
0x0000017B, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000180, 0x00000000, 0x0002, 0x0004, 0x0010
0x00000185, 0x00000000, 0x0002, 0x0004, 0x000E
0x0000018A, 0x00000000, 0x0002, 0x0003, 0x0010
0x0000018F, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000194, 0x00000000, 0x0000, 0x000A, 0x0011
0x00000199, 0x00000000, 0x0002, 0x0004, 0x000A
0x0000019E, 0x00000000, 0x0002, 0x0004, 0x0011
0x000001A3, 0x00000000, 0x0002, 0x0004, 0x0010
0x000001A8, 0x00000000, 0x0002, 0x0004, 0x0010
0x000001AD, 0x00000000, 0x0002, 0x0005, 0x000B
0x000001B2, 0x00000000, 0x0002, 0x0004, 0x0011
0x000001B7, 0x00000000, 0x0002, 0x0004, 0x0011
0x000001BC, 0x00000000, 0x0000, 0x0000, 0x0011
0x000001C1, 0x00000000, 0x0000, 0x0000, 0x0011
0x000001C6, 0x00000000, 0x0002, 0x0004, 0x0011
0x000001CB, 0x00000000, 0x0002, 0x0004, 0x0010
0x000001D0, 0x00000000, 0x0002, 0x0004, 0x0011
0x000001D5, 0x00000000, 0x0002, 0x0004, 0x0011
0x000001DA, 0x00000000, 0x0003, 0x0004, 0x0010
0x000001DF, 0x00000000, 0x0002, 0x0004, 0x000C
0x000001E4, 0x00000000, 0x0002, 0x0004, 0x0011
0x000001E9, 0x00000000, 0x0002, 0x0004, 0x0010
0x000001EE, 0x00000000, 0x0002, 0x0004, 0x0010
0x000001F3, 0x00000000, 0x0002, 0x0009, 0x0010
0x000001F8, 0x00000000, 0x0002, 0x0003, 0x0011
0x000001FD, 0x00000000, 0x0002, 0x0004, 0x000B
0x00000202, 0x00000000, 0x0005, 0x0003, 0x0010
0x00000207, 0x00000000, 0x0002, 0x0004, 0x0010
0x0000020C, 0x00000000, 0x0003, 0x0004, 0x0014
0x00000211, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000216, 0x00000000, 0x0001, 0x0002, 0x0011
0x0000021B, 0x00000000, 0x0001, 0x0000, 0x0011
0x00000220, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000225, 0x00000000, 0x0002, 0x0004, 0x0011
0x0000022A, 0x00000000, 0x0001, 0x0007, 0x0011
0x0000022F, 0x00000000, 0x0001, 0x0003, 0x0011
0x00000234, 0x00000000, 0x0002, 0x0005, 0x0013
0x00000239, 0x00000000, 0x0002, 0x0003, 0x0011
0x0000023E, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000243, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000248, 0x00000000, 0x0002, 0x0004, 0x0011
0x0000024D, 0x00000000, 0x0002, 0x0003, 0x0010
0x00000252, 0x00000000, 0x0002, 0x0000, 0x0011
0x00000257, 0x00000000, 0x0002, 0x0005, 0x0010
0x0000025C, 0x00000000, 0x0003, 0x0004, 0x0011
0x00000261, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000266, 0x00000000, 0x0002, 0x0005, 0x0011
0x0000026B, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000270, 0x00000000, 0x0001, 0x0004, 0x0011
0x00000275, 0x00000000, 0x0002, 0x0004, 0x0011
0x0000027A, 0x00000000, 0x0000, 0x0004, 0x0011
0x0000027F, 0x00000000, 0x0002, 0x0004, 0x0019
0x00000284, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000289, 0x00000000, 0x0002, 0x0004, 0x0011
0x0000028E, 0x00000000, 0x0002, 0x0003, 0x0011
0x00000293, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000298, 0x00000000, 0x0002, 0x0003, 0x0011
0x0000029D, 0x00000000, 0x0002, 0x0004, 0x0012
0x000002A2, 0x00000000, 0x0003, 0x0003, 0x0011
0x000002A7, 0x00000000, 0x0002, 0x0003, 0x0011
0x000002AC, 0x00000000, 0x0002, 0x0000, 0x0011
0x000002B1, 0x00000000, 0x0002, 0x0005, 0x0011
0x000002B6, 0x00000000, 0x0002, 0x0004, 0x0011
0x000002BB, 0x00000000, 0x0002, 0x0003, 0x000C
0x000002C0, 0x00000000, 0x0002, 0x0004, 0x0011
0x000002C5, 0x00000000, 0x0002, 0x0004, 0x0012
0x000002CA, 0x00000000, 0x0000, 0x0004, 0x0011
0x000002CF, 0x00000000, 0x0002, 0x0004, 0x0011
0x000002D4, 0x00000000, 0x0002, 0x0003, 0x0012
0x000002D9, 0x00000000, 0x0002, 0x0004, 0x0013
0x000002DE, 0x00000000, 0x0002, 0x0004, 0x0011
0x000002E3, 0x00000000, 0x0002, 0x0004, 0x0012
0x000002E8, 0x00000000, 0x0002, 0x0004, 0x0016
0x000002ED, 0x00000000, 0x0000, 0x0004, 0x0011
0x000002F2, 0x00000000, 0x0000, 0x0004, 0x0011
0x000002F7, 0x00000000, 0x0002, 0x0005, 0x000D
0x000002FC, 0x00000000, 0x0003, 0x0004, 0x0011
0x00000301, 0x00000000, 0x0002, 0x0005, 0x0011
0x00000306, 0x00000000, 0x0001, 0x0004, 0x0011
0x0000030B, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000310, 0x00000000, 0x0001, 0x0005, 0x0011
0x00000315, 0x00000000, 0x0002, 0x0004, 0x0011
0x0000031A, 0x00000000, 0x0000, 0x0003, 0x0011
0x0000031F, 0x00000000, 0x0002, 0x0004, 0x0012
0x00000324, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000329, 0x00000000, 0x0001, 0x0004, 0x0011
0x0000032E, 0x00000000, 0x0002, 0x0005, 0x0011
0x00000333, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000338, 0x00000000, 0x0002, 0x0005, 0x0011
0x0000033D, 0x00000000, 0x0002, 0x0004, 0x0012
0x00000342, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000347, 0x00000000, 0x0002, 0x0004, 0x0011
0x0000034C, 0x00000000, 0x0002, 0x0004, 0x0012
0x00000351, 0x00000000, 0x0001, 0x0006, 0x0012
0x00000356, 0x00000000, 0x0002, 0x0004, 0x0012
0x0000035B, 0x00000000, 0x0002, 0x0004, 0x0013
0x00000360, 0x00000000, 0x0000, 0x0003, 0x0012
0x00000365, 0x00000000, 0x0002, 0x0003, 0x0011
0x0000036A, 0x00000000, 0x0002, 0x0004, 0x0011
0x0000036F, 0x00000000, 0x0002, 0x0004, 0x0012
0x00000374, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000379, 0x00000000, 0x0002, 0x0004, 0x0012
0x0000037E, 0x00000000, 0x0002, 0x0004, 0x0011
0x00000383, 0x00000000, 0x0002, 0x0007, 0x0011
